DATE_TIME,AWAY,HOME
2017-02-07 10:30:00,SAS,PHX
2017-02-08 10:30:00,DAL,GSW
2017-02-08 10:30:00,OKC,LAL
2017-02-08 7:00:00,ATL,ORL
2017-02-08 10:00:00,CHA,POR
2017-02-08 7:30:00,NYK,TOR
2017-02-08 8:00:00,BOS,WAS
2017-02-09 7:30:00,CLE,ATL
2017-02-09 7:30:00,IND,BOS
2017-02-09 8:00:00,MIN,CHI
2017-02-09 7:00:00,LAC,DET
2017-02-09 8:00:00,DEN,HOU
2017-02-09 8:00:00,MIL,MIA
2017-02-09 7:00:00,NOP,PHI
2017-02-09 10:30:00,POR,SAC
2017-02-09 9:00:00,CHA,UTA
2017-02-10 6:00:00,NOP,BKN
2017-02-10 8:00:00,WAS,CHI
2017-02-10 8:30:00,LAL,DAL
2017-02-10 8:30:00,SAS,GSW
2017-02-10 7:00:00,MIL,ORL
2017-02-10 7:00:00,LAC,PHI
2017-02-10 9:00:00,DEN,PHX
2017-02-11 3:30:00,DET,ATL
2017-02-11 3:30:00,CLE,BOS
2017-02-11 1:00:00,TOR,CHA
2017-02-11 7:00:00,DAL,HOU
2017-02-11 5:00:00,NYK,IND
2017-02-11 7:00:00,SAC,MIN
2017-02-11 7:00:00,MEM,OKC
2017-02-11 9:00:00,UTA,POR
2017-02-12 7:30:00,LAC,BKN
2017-02-12 8:00:00,ORL,CHI
2017-02-12 7:00:00,NOP,DET
2017-02-12 10:30:00,PHX,GSW
2017-02-12 7:00:00,NYK,PHI
2017-02-12 9:00:00,SAS,UTA
2017-02-13 8:30:00,SAC,DAL
2017-02-13 10:30:00,SAS,DEN
2017-02-13 8:00:00,ATL,MIL
2017-02-13 8:00:00,HOU,MIN
2017-02-13 8:00:00,CLE,OKC
2017-02-13 7:00:00,MIA,TOR
2017-02-14 8:00:00,LAC,BOS
2017-02-14 7:30:00,IND,BKN
2017-02-14 8:00:00,TOR,CHI
2017-02-14 7:00:00,ATL,DET
2017-02-14 8:00:00,SAC,HOU
2017-02-14 8:00:00,OKC,MEM
2017-02-14 8:00:00,LAL,NOP
2017-02-14 7:30:00,WAS,NYK
2017-02-14 7:00:00,CHA,ORL
2017-02-14 7:00:00,MIA,PHI
2017-02-14 10:30:00,GSW,POR
2017-02-14 9:00:00,PHX,UTA
2017-02-15 8:00:00,DEN,MIL
2017-02-15 9:00:00,LAL,MIN
2017-02-22 8:00:00,PHI,CHI
2017-02-22 7:00:00,BKN,CHA
2017-02-22 8:00:00,WAS,CLE
2017-02-22 10:30:00,LAC,GSW
2017-02-22 7:00:00,NYK,ORL
2017-02-22 10:00:00,OKC,SAC
2017-02-23 9:00:00,SAS,DEN
2017-02-23 7:00:00,BOS,DET
2017-02-23 8:00:00,MIN,HOU
2017-02-23 7:00:00,ATL,IND
2017-02-23 10:30:00,DAL,LAL
2017-02-23 8:00:00,CLE,MEM
2017-02-23 8:00:00,MIA,NOP
2017-02-23 9:00:00,LAC,PHX
2017-02-23 7:30:00,MIL,TOR
2017-02-23 9:00:00,POR,UTA
2017-02-23 7:00:00,CHA,WAS
2017-02-24 8:30:00,OKC,GSW
2017-02-24 7:30:00,MEM,MIA
2017-02-24 9:00:00,CHI,MIN
2017-02-24 7:30:00,BOS,NYK
2017-02-24 5:00:00,ORL,PHI
2017-02-24 9:00:00,POR,PHX
2017-02-24 10:00:00,LAL,SAC
2017-02-24 9:00:00,DAL,UTA
2017-02-25 1:00:00,DET,CHA
2017-02-25 3:30:00,SAS,CLE
2017-02-25 8:00:00,HOU,DEN
2017-02-25 3:00:00,NOP,MIL
2017-02-25 8:00:00,PHI,WAS
2017-02-26 7:30:00,LAL,ATL
2017-02-26 7:30:00,MEM,BOS
2017-02-26 7:30:00,CHI,BKN
2017-02-26 8:30:00,IND,DAL
2017-02-26 8:00:00,PHX,NOP
2017-02-26 7:30:00,GSW,NYK
2017-02-26 8:00:00,ORL,OKC
2017-02-26 10:00:00,MIN,SAC
2017-02-26 7:30:00,DET,TOR
2017-02-26 9:00:00,HOU,UTA
2017-02-27 7:00:00,CHI,CHA
2017-02-27 7:00:00,BKN,CLE
2017-02-27 10:30:00,LAC,DEN
2017-02-27 7:30:00,PHI,MIA
2017-02-27 8:00:00,WAS,MIL
2017-02-27 10:00:00,SAC,POR
2017-02-28 7:30:00,IND,ATL
2017-02-28 7:30:00,CHA,BOS
2017-02-28 8:30:00,OKC,DAL
2017-02-28 7:00:00,MIL,DET
2017-02-28 10:30:00,HOU,LAC
2017-02-28 8:00:00,PHX,MEM
2017-02-28 7:00:00,TOR,ORL
2017-02-28 8:30:00,NOP,SAS
2017-02-28 8:00:00,GSW,WAS
2017-03-01 8:00:00,PHI,CLE
2017-03-01 7:30:00,LAL,MIA
2017-03-01 10:30:00,MIN,POR
2017-03-01 10:00:00,BKN,SAC
2017-03-02 7:30:00,GSW,ATL
2017-03-02 8:00:00,DAL,CHI
2017-03-02 10:30:00,NYK,LAC
2017-03-02 8:00:00,DEN,MEM
2017-03-02 8:00:00,IND,MIL
2017-03-02 7:00:00,DET,ORL
2017-03-02 7:00:00,CHA,PHI
2017-03-02 9:00:00,OKC,PHX
2017-03-02 10:30:00,MIN,UTA
2017-03-02 8:00:00,TOR,WAS
2017-03-03 7:30:00,DEN,CLE
2017-03-03 8:30:00,BOS,HOU
2017-03-03 7:30:00,DET,MIA
2017-03-03 7:00:00,MEM,ORL
2017-03-03 10:00:00,OKC,POR
2017-03-03 10:00:00,UTA,SAC
2017-03-03 9:00:00,LAL,SAS
2017-03-04 3:30:00,PHX,ATL
2017-03-04 7:00:00,NOP,DAL
2017-03-04 9:00:00,BKN,LAC
2017-03-04 8:00:00,PHI,MIL
2017-03-04 9:00:00,NYK,SAC
2017-03-04 6:00:00,CHA,TOR
2017-03-04 6:00:00,IND,WAS
2017-03-05 8:00:00,BOS,CHI
2017-03-05 7:00:00,DET,CLE
2017-03-05 7:00:00,MIL,IND
2017-03-05 10:30:00,POR,LAL
2017-03-05 7:30:00,PHX,MIA
2017-03-05 8:30:00,MEM,SAS
2017-03-05 9:00:00,ORL,UTA
2017-03-06 7:00:00,PHI,CHA
2017-03-06 8:30:00,DEN,DAL
2017-03-06 10:30:00,BKN,GSW
2017-03-06 10:30:00,NOP,LAC
2017-03-06 8:00:00,HOU,OKC
2017-03-06 10:00:00,NYK,POR
2017-03-06 7:00:00,ATL,TOR
2017-03-06 7:00:00,MIA,WAS
2017-03-07 8:00:00,MEM,CHI
2017-03-07 10:30:00,CLE,DEN
2017-03-07 8:00:00,TOR,DET
2017-03-07 7:00:00,UTA,IND
2017-03-07 10:30:00,ORL,LAL
2017-03-07 8:00:00,HOU,MIL
2017-03-07 10:00:00,NOP,SAC
2017-03-08 7:00:00,BKN,CHA
2017-03-08 10:30:00,SAS,GSW
2017-03-08 7:30:00,PHI,MIA
2017-03-08 8:00:00,BOS,MIN
2017-03-08 8:00:00,PHX,OKC
2017-03-09 9:00:00,LAL,DEN
2017-03-09 7:00:00,CHI,DET
2017-03-09 7:00:00,ATL,IND
2017-03-09 10:30:00,CLE,LAC
2017-03-09 8:00:00,UTA,MEM
2017-03-09 8:00:00,NYK,MIL
2017-03-09 8:00:00,WAS,NOP
2017-03-09 10:00:00,GSW,POR
2017-03-09 10:00:00,ORL,SAC
2017-03-09 7:30:00,HOU,TOR
2017-03-10 5:00:00,PHX,CHA
2017-03-10 8:30:00,MEM,DAL
2017-03-10 10:30:00,ORL,LAC
2017-03-10 7:30:00,WAS,MIA
2017-03-10 8:30:00,SAS,OKC
2017-03-11 3:30:00,CHI,ATL
2017-03-11 7:30:00,IND,BOS
2017-03-11 7:30:00,PHI,BKN
2017-03-11 7:00:00,HOU,DAL
2017-03-11 5:00:00,SAC,DEN
2017-03-11 9:00:00,CLE,LAL
2017-03-11 3:30:00,GSW,MIN
2017-03-11 4:00:00,UTA,NOP
2017-03-11 1:00:00,TOR,NYK
2017-03-12 8:00:00,SAS,HOU
2017-03-12 8:00:00,MIL,MEM
2017-03-12 8:00:00,SAC,OKC
2017-03-12 10:30:00,MIA,POR
2017-03-13 7:30:00,OKC,ATL
2017-03-13 7:30:00,TOR,BKN
2017-03-13 8:00:00,LAC,CHI
2017-03-13 10:30:00,DEN,LAL
2017-03-13 8:00:00,CHA,NOP
2017-03-13 7:30:00,DAL,NYK
2017-03-13 7:00:00,IND,PHI
2017-03-13 10:00:00,CLE,PHX
2017-03-13 8:30:00,ORL,SAS
2017-03-13 9:00:00,DET,UTA
2017-03-13 7:00:00,MIN,WAS
2017-03-14 8:00:00,WAS,BOS
2017-03-14 10:30:00,LAL,GSW
2017-03-14 7:00:00,MIL,ORL
2017-03-14 10:00:00,MIA,SAC
2017-03-15 7:30:00,CHA,ATL
2017-03-15 9:00:00,DET,DEN
2017-03-15 8:00:00,LAC,HOU
2017-03-15 7:00:00,TOR,IND
2017-03-15 8:00:00,CHI,MEM
2017-03-15 7:30:00,PHI,NYK
2017-03-15 10:00:00,CLE,POR
2017-03-15 8:30:00,NOP,SAS
2017-03-15 9:00:00,PHX,UTA
2017-03-16 10:30:00,SAC,GSW
2017-03-16 10:30:00,MIA,LAL
2017-03-16 8:00:00,LAC,OKC
2017-03-16 7:00:00,BOS,ORL
2017-03-16 7:00:00,BKN,PHI
2017-03-16 7:30:00,DAL,TOR
2017-03-17 7:30:00,DAL,BKN
2017-03-17 8:00:00,CLE,CHI
2017-03-17 8:00:00,DEN,MEM
2017-03-17 8:30:00,ATL,MIL
2017-03-17 7:00:00,HOU,NOP
2017-03-17 7:30:00,CHA,NYK
2017-03-17 10:00:00,GSW,PHX
2017-03-17 10:00:00,DET,POR
2017-03-17 8:30:00,MIN,SAS
2017-03-17 9:00:00,SAC,UTA
2017-03-17 7:00:00,IND,WAS
2017-03-18 10:30:00,POR,LAC
2017-03-18 7:00:00,HOU,MIN
2017-03-18 6:00:00,BOS,NOP
2017-03-18 1:00:00,OKC,TOR
2017-03-19 7:30:00,MEM,BKN
2017-03-19 7:00:00,MIL,CLE
2017-03-19 7:00:00,LAL,IND
2017-03-19 7:30:00,DEN,MIA
2017-03-19 7:30:00,CHI,NYK
2017-03-19 7:00:00,CHA,PHI
2017-03-19 10:00:00,DET,SAC
2017-03-19 9:30:00,GSW,SAS
2017-03-20 8:00:00,OKC,BOS
2017-03-20 8:00:00,LAC,MIN
2017-03-20 8:00:00,DAL,NOP
2017-03-20 7:00:00,TOR,ORL
2017-03-20 10:00:00,DET,PHX
2017-03-20 10:30:00,HOU,POR
2017-03-20 9:00:00,ATL,UTA
2017-03-21 7:30:00,CHA,BKN
2017-03-21 8:00:00,DEN,CHI
2017-03-21 7:00:00,TOR,CLE
2017-03-21 7:30:00,NYK,MIA
2017-03-21 8:00:00,LAC,MIL
2017-03-21 7:00:00,MEM,PHI
2017-03-21 9:30:00,WAS,SAS
2017-03-22 7:00:00,MEM,CHA
2017-03-22 8:30:00,UTA,DAL
2017-03-22 8:00:00,DET,HOU
2017-03-22 8:00:00,LAL,NOP
2017-03-22 7:00:00,PHI,ORL
2017-03-22 10:00:00,ATL,SAC
2017-03-23 8:00:00,MIL,CHI
2017-03-23 7:30:00,PHX,CLE
2017-03-23 10:30:00,ATL,GSW
2017-03-23 7:00:00,LAC,IND
2017-03-23 7:30:00,MIN,NYK
2017-03-23 8:00:00,MIA,OKC
2017-03-23 10:00:00,BOS,POR
2017-03-23 8:30:00,UTA,SAS
2017-03-23 7:30:00,BKN,TOR
2017-03-23 7:00:00,DEN,WAS
2017-03-24 8:30:00,CHA,DAL
2017-03-24 7:00:00,CHI,DET
2017-03-24 8:00:00,NOP,HOU
2017-03-24 8:00:00,LAL,MEM
2017-03-24 7:00:00,PHX,ORL
2017-03-24 6:00:00,MIN,PHI
2017-03-25 1:00:00,CLE,BKN
2017-03-25 8:30:00,UTA,GSW
2017-03-25 8:00:00,ATL,HOU
2017-03-25 5:00:00,MIA,IND
2017-03-25 3:30:00,SAS,MIL
2017-03-25 7:00:00,POR,OKC
2017-03-25 6:00:00,BOS,SAC
2017-03-25 6:00:00,LAC,TOR
2017-03-25 6:00:00,NYK,WAS
2017-03-26 7:00:00,NYK,CHA
2017-03-26 7:00:00,LAL,DET
2017-03-26 8:00:00,MEM,MIN
2017-03-26 7:00:00,DEN,PHI
2017-03-26 10:00:00,BOS,PHX
2017-03-27 10:30:00,IND,GSW
2017-03-27 8:00:00,CHI,HOU
2017-03-27 10:30:00,MIL,LAC
2017-03-27 8:00:00,CLE,MIA
2017-03-27 8:00:00,POR,NOP
2017-03-27 10:00:00,DAL,SAC
2017-03-27 7:30:00,DEN,TOR
2017-03-27 7:00:00,SAS,WAS
2017-03-28 7:00:00,CLE,CHA
2017-03-28 10:30:00,DAL,LAL
2017-03-28 8:00:00,POR,MEM
2017-03-28 8:00:00,ATL,MIN
2017-03-28 7:00:00,BKN,ORL
2017-03-28 7:00:00,NYK,PHI
2017-03-28 10:00:00,LAC,PHX
2017-03-28 9:30:00,BOS,UTA
2017-03-29 7:00:00,WAS,DET
2017-03-29 10:30:00,MIL,GSW
2017-03-29 7:30:00,CHI,MIA
2017-03-29 10:00:00,IND,SAC
2017-03-29 8:00:00,OKC,SAS
2017-03-30 7:30:00,PHI,ATL
2017-03-30 8:00:00,NOP,CLE
2017-03-30 8:30:00,MIN,DAL
2017-03-30 8:00:00,PHX,HOU
2017-03-30 10:30:00,MIL,LAL
2017-03-30 8:00:00,DEN,OKC
2017-03-30 7:00:00,CHI,ORL
2017-03-30 10:30:00,LAC,POR
2017-03-30 9:00:00,MEM,UTA
2017-03-31 7:30:00,TOR,BOS
2017-03-31 8:00:00,BKN,MIA
2017-03-31 5:00:00,DET,NYK
2017-03-31 10:00:00,GSW,SAC
2017-03-31 3:00:00,CHA,WAS
2017-04-01 6:00:00,ORL,ATL
2017-04-01 6:00:00,DET,BKN
2017-04-01 3:30:00,WAS,CHI
2017-04-01 1:00:00,PHI,CHA
2017-04-01 6:00:00,DAL,CLE
2017-04-01 8:00:00,MIL,DEN
2017-04-01 8:30:00,PHX,GSW
2017-04-01 3:30:00,IND,LAC
2017-04-01 9:30:00,SAC,LAL
2017-04-01 7:00:00,UTA,MIN
2017-04-01 6:00:00,OKC,NOP
2017-04-01 9:00:00,MEM,POR
2017-04-01 3:30:00,HOU,SAS
2017-04-03 8:00:00,CHA,CHI
2017-04-03 7:00:00,TOR,CLE
2017-04-03 8:30:00,POR,DAL
2017-04-03 9:00:00,IND,DEN
2017-04-03 8:00:00,WAS,HOU
2017-04-03 10:30:00,SAS,LAC
2017-04-03 7:30:00,ATL,MIA
2017-04-03 8:00:00,BOS,MIL
2017-04-03 7:30:00,ORL,NYK
2017-04-03 8:00:00,GSW,OKC
2017-04-03 7:00:00,BKN,PHI
2017-04-03 10:00:00,SAC,PHX
2017-04-03 9:00:00,LAL,UTA
2017-04-04 7:30:00,MIA,ATL
2017-04-04 7:00:00,PHI,DET
2017-04-04 10:30:00,SAS,LAL
2017-04-04 9:30:00,MEM,NOP
2017-04-04 7:00:00,DAL,ORL
2017-04-04 7:00:00,BOS,TOR
2017-04-05 8:00:00,WAS,CLE
2017-04-05 10:30:00,MIN,DEN
2017-04-05 8:00:00,POR,HOU
2017-04-05 7:00:00,GSW,IND
2017-04-05 8:00:00,BKN,MIL
2017-04-05 9:00:00,LAC,UTA
2017-04-06 7:30:00,CHI,BOS
2017-04-06 7:00:00,DAL,DET
2017-04-06 10:30:00,MIN,LAL
2017-04-06 8:00:00,SAC,MEM
2017-04-06 7:30:00,MIA,NYK
2017-04-06 7:00:00,CHA,ORL
2017-04-06 7:00:00,CLE,PHI
2017-04-06 10:00:00,NOP,PHX
2017-04-06 7:30:00,IND,TOR
2017-04-06 7:00:00,ATL,WAS
2017-04-07 8:00:00,BKN,CHI
2017-04-07 8:30:00,NOP,GSW
2017-04-07 8:30:00,OKC,HOU
2017-04-07 3:30:00,DEN,LAC
2017-04-07 7:30:00,MIL,NYK
2017-04-07 9:00:00,POR,SAS
2017-04-08 7:30:00,ATL,BOS
2017-04-08 1:00:00,IND,CHA
2017-04-08 6:00:00,UTA,LAL
2017-04-08 3:30:00,DET,MEM
2017-04-08 1:00:00,DAL,PHI
2017-04-08 9:00:00,GSW,PHX
2017-04-08 6:00:00,ORL,TOR
2017-04-09 7:30:00,CHI,BKN
2017-04-09 9:00:00,POR,DEN
2017-04-09 7:00:00,TOR,DET
2017-04-09 10:30:00,NOP,LAC
2017-04-09 7:30:00,OKC,MIA
2017-04-09 8:00:00,ORL,MIL
2017-04-09 8:00:00,MEM,MIN
2017-04-09 7:30:00,CLE,NYK
2017-04-09 8:30:00,SAC,SAS
2017-04-10 7:30:00,PHI,ATL
2017-04-10 8:30:00,PHX,DAL
2017-04-10 7:00:00,CHA,IND
2017-04-10 10:30:00,HOU,LAL
2017-04-10 9:00:00,GSW,UTA
2017-04-10 8:00:00,BOS,WAS
2017-04-11 8:00:00,BKN,BOS
2017-04-11 8:00:00,DET,CHI
2017-04-11 8:00:00,NYK,CLE
2017-04-11 10:30:00,LAL,LAC
2017-04-11 8:00:00,TOR,MIA
2017-04-11 8:00:00,DEN,MIN
2017-04-11 8:00:00,SAS,NOP
2017-04-11 8:00:00,MEM,OKC
2017-04-11 8:00:00,WAS,ORL
2017-04-11 8:00:00,MIL,PHI
2017-04-11 10:30:00,UTA,POR
2017-04-11 10:30:00,HOU,SAC
